Channel_Names,Category,Description
f3-m2;f3m2;f3-m2+m1;eeg f3-a2;f3-a2;f3:m2;m2:f3;f3:a2;f3/m2;f3/a2;a2:f3;f3-avg,eeg,
f4-m1;f4m1;f4-m1+m2;eeg f4-a1;f4-a1;f4:m1;m1:f4;f4:a1;f4/m1;f4/a1;a1:f4;f4-avg,eeg,
c3-m2;c3m2;c3-m2+m1;eeg c3-a2;c3-a2;c3:m2;m2:c3;c3:a2;c3/m2;c3/a2;a2:c3;c3-avg,eeg,
c4-m1;c4m1;c4-m1+m2;eeg c4-a1;c4-a1;c4:m1;m1:c4;c4:a1;c4/m1;c4/a1;a1:c4;c4-avg,eeg,
o1-m2;o1m2;o1-m2+m1;eeg o1-a2;o1-a2;o1:m2;m2:o1;o1:a2;o1/m2;o1/a2;a2:o1;o1-avg,eeg,
o2-m1;o2m1;o2-m1+m2;eeg o2-a1;o2-a1;o2:m1;m1:o2;o2:a1;o2/m1;o2/a1;a1:o2;o2-avg,eeg,
m1;a1,eeg,
m2;a2,eeg,
f3,eeg,
f4,eeg,
c3,eeg,
c4,eeg,
o1,eeg,
o2,eeg,
e1,eog,
e2,eog,
e2-m1;roc;eog(r);eog-r;eog r;eog2;rt eye (e2);rt. Eye (e2);eog roc-a1;eog roc-a2;roc-a1;eog roc-m1;roc-m1;r-eog;e2-m2;e2:m1;m1:e2;e2:a1;a1:e2;e1-avg,eog,
e1-m2;loc;eog(l);eog-l;eog l;eog1;lt eye (e1);lt. eye (e1);eog loc-a1;eog loc-a2;loc-a2;eog loc-m2;loc-m2;l-eog;e1-m1;e1:m2;m2:e1;e1:a2;a2:e1;e2-avg,eog,
chin1-chin2;chin1chin2;chin;china;chin_emg;emg.subm;emg;chin emg;emg chin;emg-chin;chin1-chin3;chin-a;emg1-emg2,chin emg,
chin 1;l chin;chin l;chinl;chin1;emg1;chin_emg1;chin emg 1;chin emg 1;chin-l;emg1,chin emg,
chin 2;r chin;chin r;chinr;chin2;emg2;chin_emg2;chin emg 2;chin emg 2;chin-r;emg2,chin emg,
lat;l leg;lleg;left leg;left_leg;l emg;lemg;leg 1;leg1;leg-l;plml;l-leg;gnd-leg l,leg emg,
rat;r leg;rleg;right leg;right_leg;r emg;remg;l/rat;emg-leg;leg;legs;leg 2;leg2;leg-r;plmr;r-leg;gnd-leg r,leg emg,
rleg+;rat1;rat 1;rat-u;r-leg1,leg emg,
rleg-;rat2;rat 2;rat-l;r-leg2,leg emg,
lleg+;lat1;lat 1;lat-u;l-leg1,leg emg,
lleg-;lat2;lat 2;lat-l;l-leg2,leg emg,
ecg;ekg;ecg-la;ecg-v1;ecg-v2;ecg-ll;ecg-ra;ecg l;ecgl;ecg i;ecg ii;ekg-r;ekg-l;ecg1;ecg2;ecg ref-ecg1;ecg ref-ecg2;ecg ref-ecg3,ecg,
abd;abdomen;abdominal;abd res;abdo res;abdo;effort abd;abdominal effort;abdom;respitrace abdom,resp,
chest;thorax;thoracic;thor res;thoracic res;chest res;thor;effort tho;thoracic effort;respitrace chest,resp,
ptaf;pressure;npt;nptaf;nasal_pressure;nasal pressure;nasal;nasaloral;nasal oral;cannula;cannula_flow;cannula flow;nasal cannula;nasal canula;nasal flow;nasalflow,resp,
airflow;flow_dr;flow;air flow;thermal airflow;airflow thermal;airflow2;flow ii;thermal;therm;thermal flow;thermistor;thermistor 2;thermister;gnd-flow,resp,
cflow;c-flow;c flow;cpap flow;cflowext;cflowresmed,resp,
cpres;cpress;c press;c_press;cpap pressure;cpap_press;c-pres;c-press;cpap-pressure;cpap pres;cpap press;cpap pressure 1;cpressure,resp,
spo2;sao2;osat;o2sat;o2 sat;o2-sat;o2-saturation;gnd-spo2,resp,
